year,date,fatalities,case,location,map_date
2006,2006-03-25,7,Capitol Hill massacre,"Seattle, Washington",2000-03-25
2006,2006-01-30,8,Goleta postal shootings,"Goleta, California",2000-01-30
2005,2005-03-21,10,Red Lake massacre,"Red Lake, Minnesota",2000-03-21
2004,2004-12-08,5,Damageplan show shooting,"Columbus, Ohio",2000-12-08
2003,2003-07-08,7,Lockheed Martin shooting,"Meridian, Mississippi",2000-07-08
2001,2001-02-05,5,Navistar shooting,"Melrose Park, Illinois",2000-02-05
2000,2000-12-26,7,Wakefield massacre,"Wakefield, Massachusetts",2000-12-26
1999,1999-09-15,8,Wedgwood Baptist Church shooting,"Fort Worth, Texas",2000-09-15
1999,1999-07-29,9,Atlanta day trading spree killings,"Atlanta, Georgia",2000-07-29
1999,1999-04-20,13,Columbine High School massacre,"Littleton, Colorado",2000-04-20
